game_id,game_date,team,injury_off_impact,injury_def_impact,players_flagged,flagged_players,injury_total_impact
22500254,2025-11-18,PHX,0.0,0.0,0,,0.0
22500254,2025-11-18,POR,0.0,0.0,0,,0.0
22500255,2025-11-19,CLE,0.0,0.0,0,,0.0
22500255,2025-11-19,HOU,0.0,0.0,0,,0.0
22500256,2025-11-19,CHA,0.0,0.0,0,,0.0
22500256,2025-11-19,IND,0.0,0.0,0,,0.0
22500257,2025-11-19,GSW,0.0,0.0,0,,0.0
22500257,2025-11-19,MIA,0.0,0.0,0,,0.0
22500258,2025-11-19,PHI,0.0,0.0,0,,0.0
22500258,2025-11-19,TOR,0.0,0.0,0,,0.0
22500259,2025-11-19,MIN,0.0,0.0,0,,0.0
22500259,2025-11-19,WAS,0.0,0.0,0,,0.0
22500260,2025-11-19,DEN,0.0,0.0,0,,0.0
22500260,2025-11-19,NOP,0.0,0.0,0,,0.0
22500261,2025-11-19,OKC,0.0,0.0,0,,0.0
22500261,2025-11-19,SAC,0.0,0.0,0,,0.0
22500262,2025-11-19,DAL,0.0,0.0,0,,0.0
22500262,2025-11-19,NYK,0.0,0.0,0,,0.0
22500263,2025-11-19,CHI,0.0,0.0,0,,0.0
22500263,2025-11-19,POR,0.0,0.0,0,,0.0
22500264,2025-11-20,LAC,0.0,0.0,0,,0.0
22500264,2025-11-20,ORL,0.0,0.0,0,,0.0
22500265,2025-11-20,MEM,0.0,0.0,0,,0.0
22500265,2025-11-20,SAC,0.0,0.0,0,,0.0
22500266,2025-11-20,MIL,0.0,0.0,0,,0.0
22500266,2025-11-20,PHI,0.0,0.0,0,,0.0
22500267,2025-11-20,ATL,0.0,0.0,0,,0.0
22500267,2025-11-20,SAS,0.0,0.0,0,,0.0
22500048,2025-11-21,CLE,0.0,0.0,0,,0.0
22500048,2025-11-21,IND,0.0,0.0,0,,0.0
22500049,2025-11-21,BKN,0.0,0.0,0,,0.0
22500049,2025-11-21,BOS,0.0,0.0,0,,0.0
22500050,2025-11-21,TOR,0.0,0.0,0,,0.0
22500050,2025-11-21,WAS,0.0,0.0,0,,0.0
22500051,2025-11-21,CHI,0.0,0.0,0,,0.0
22500051,2025-11-21,MIA,0.0,0.0,0,,0.0
22500052,2025-11-21,DAL,0.0,0.0,0,,0.0
22500052,2025-11-21,NOP,0.0,0.0,0,,0.0
22500053,2025-11-21,MIN,0.0,0.0,0,,0.0
22500053,2025-11-21,PHX,0.0,0.0,0,,0.0
22500054,2025-11-21,DEN,0.0,0.0,0,,0.0
22500054,2025-11-21,HOU,0.0,0.0,0,,0.0
22500055,2025-11-21,OKC,0.0,0.0,0,,0.0
22500055,2025-11-21,UTA,0.0,0.0,0,,0.0
22500056,2025-11-21,GSW,0.0,0.0,0,,0.0
22500056,2025-11-21,POR,0.0,0.0,0,,0.0
22500268,2025-11-22,CHA,0.0,0.0,0,,0.0
22500268,2025-11-22,LAC,0.0,0.0,0,,0.0
22500269,2025-11-22,NYK,0.0,0.0,0,,0.0
22500269,2025-11-22,ORL,0.0,0.0,0,,0.0
22500270,2025-11-22,ATL,0.0,0.0,0,,0.0
22500270,2025-11-22,NOP,0.0,0.0,0,,0.0
22500271,2025-11-22,CHI,0.0,0.0,0,,0.0
22500271,2025-11-22,WAS,0.0,0.0,0,,0.0
22500272,2025-11-22,DET,0.0,0.0,0,,0.0
